Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
Two  small  silver,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharrafarraf,2002-01-08,5000.0,0.0,Yes,Yes
One Pilot Pen with,Pen,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-01-08,3500.0,0.0,Yes,Yes
One silver vase,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,2002-01-09,7500.0,0.0,Yes,Yes
One  ,Decoration Pieces,"Mr.  Abdul Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-01-15,2200.0,0.0,Yes,Yes
One  Decoration,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-01-22,2000.0,0.0,Yes,Yes
One gown,Clothes,"Mr.  Ahmed  Waqar,  Secretary
Privatization Commission",Gen. Musharraf,2002-01-26,2500.0,0.0,Yes,Yes
One  Coffee  Set,Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-01-28,1800.0,0.0,Yes,Yes
Art  glass,Decoration Pieces,"Mr. Shaukat Aziz, Minister for Finance",Gen. Musharraf,2002-02-01,1200.0,0.0,Yes,Yes
One  leather  black,Decoration Pieces,"Dr.  Tariq  Hassan,  Advisor  to  Finance
Minister",Gen. Musharraf,2002-02-04,150.0,0.0,Auctioned,"Auctioned for
Rs.500/-"
One  Pen  Stand,Pen,"Mr.  Altaf  M.  Saleem,  Minster  for
Privatization",Gen. Musharraf,2002-02-06,550.0,0.0,Auctioned,"Auctioned for
Rs.305/-"
One  small  silver,Crockery,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-02-08,1350.0,0.0,Yes,Yes
One  piece  red,Carpet,"Mr.  Abdul  Sattar,  Minister  for  Foreign
Affairs",Gen. Musharraf,2002-02-08,6500.0,0.0,Yes,Yes
One Insignia,Not Specified,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  Hand,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,600.0,0.0,Yes,Yes
One  Vase  China,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,500.0,0.0,Yes,Yes
One  Metallic,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,6000.0,0.0,Yes,Yes
a,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  Book,Not Specified,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  Metallic,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  Metallic,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  Tasbih  in,Decoration Pieces,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
Ornament,Jewellery/Accessories,"Dr.  Atta-ur- Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  metallic,Decoration Pieces,"Minister  for  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-02-19,850.0,0.0,Yes,Yes
One  cufflinks,Jewellery/Accessories,"Minister  for Petroleum  &  Natural
Resources",Gen. Musharraf,2002-02-19,0.0,0.0,Yes,Yes
One  set  of,Jewellery/Accessories,"Mr.  Altaf  M.  Saleem,  Minister  for
Privatization",Gen. Musharraf,2002-02-20,0.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
a,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister for
Finance",Gen. Musharraf,2002-02-26,26200.0,0.0,Auctioned,"Auctioned
for
Rs.150/-"
a,Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-28,1800.0,0.0,Yes,Yes
Electronic  Prayer,Tech,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-28,8000.0,0.0,Yes,Yes
Metallic  Plate,Decoration Pieces,"Dr.  Atta-ur-Rehman,  Minister  for
Science & Technology",Gen. Musharraf,2002-02-28,0.0,0.0,Yes,Yes
One  plastic  box,Carpet,"Mr.  Usman  Aminuddin,  Minister  for
Petroleum & Natural Resources",Gen. Musharraf,2002-03-02,13000.0,450.0,Yes,Yes
Jewellary  box,Jewellery/Accessories,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,2002-03-06,5500.0,0.0,Yes,Yes
Kehwa  set  ,Crockery,"Justice  Sh.  Riaz  Ahmad,  Acting
President of Pakistan",Judiciary,2002-03-06,4500.0,0.0,Yes,Yes
One leather bag,Bags,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,1800.0,0.0,Yes,Yes
One  Jewellery,Jewellery/Accessories,"Begum  General  Parvez  Musharraf,
Chief Executive of Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
One shield,Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,2000.0,0.0,Yes,Yes
One  revolver,Weapons,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,72000.0,9300.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,4200.0,0.0,Yes,Yes
One photo frame,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-07,1500.0,0.0,Yes,Yes
One Scenery,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-03-09,1800.0,0.0,Yes,Yes
One  decoration,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-03-13,1500.0,0.0,Yes,Yes
One photo frame,Decoration Pieces,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-03-13,1200.0,0.0,Yes,Yes
Cigarettes box,Cigar/Cigarettes,"Minister  for  Commerce,  Industries
and Production",Gen. Musharraf,2002-03-13,2000.0,0.0,Yes,Yes
One  large,Jewellery/Accessories,"Mr.  Shaukat  Aziz,  Minister  for
Finance",Gen. Musharraf,2002-03-16,2000.0,0.0,Yes,Yes
One  medal  with,Jewellery/Accessories,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-03-18,0.0,0.0,Yes,Yes
One table clock,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-03-19,2500.0,0.0,Yes,Yes
Pair  of  flower,Decoration Pieces,"Mr.  Nawid  Ahsan,  Secretary,
Economic Affairs Division",Gen. Musharraf,2002-03-19,0.0,0.0,Yes,Yes
One Wrist Watch,Watch,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-03-22,16000.0,0.0,Yes,Yes
One  small,Food,"Minister  for  Information  &  Media
Development",Gen. Musharraf,2002-03-22,0.0,0.0,Yes,Yes
a,Watch,"Mr.  S.  Anwar  Mahmood,  Secretary,
Information and Media Development",Gen. Musharraf,2002-03-26,41000.0,4650.0,Yes,Yes
One tea set,Crockery,Foreign Secretary,Gen. Musharraf,2002-03-27,4000.0,0.0,Yes,Yes
One Wrist Watch,Watch,"Major  General  Nadeem  Taj,  Military
Secretary to President.",Military,2002-03-29,85000.0,11250.0,Yes,Yes
One Wrist Watch,Watch,"Begum  of  (Major  General,  Nadeem
Taj, Military Secretary to President)",Military,2002-03-29,45000.0,5250.0,Yes,Yes
One  wooden,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
One flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-03-29,2000.0,0.0,Yes,Yes
One  tea  set  ,Crockery,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-03-30,4000.0,0.0,Yes,Yes
One  wrist  watch,Watch,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,2002-03-30,4000.0,0.0,Yes,Yes
One  Korean,Decoration Pieces,"Mr.  Justice  Muhammad  Bashir
Jehangiri,  Wafaqi  Mohtasib
(Ombudsman)",Judiciary,2002-03-30,1000.0,0.0,Yes,Yes
One  gift  of,Decoration Pieces,"Mr.  Imtiaz  Ahmed  Sahibzada,
Hon’ble Wafaqi Mohtasib",Bureaucracy,2002-03-30,800.0,0.0,Yes,Yes
One  Cassette,Tech,"Minister  Petroleum  &  Natural
Resources",Gen. Musharraf,2002-04-01,2500.0,0.0,Yes,Yes
One pen,Pen,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2500.0,0.0,Yes,Yes
One  Jewellery box ,Jewellery/Accessories,"General  Parvez  Musharraf, ""President/  Chief  Executive  of
Pakistan""",Military,2002-04-03,3000.0,0.0,Yes,Yes
Decoration  piece,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
Flower vase,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1000.0,0.0,Yes,Yes
One  Book  ,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,450.0,0.0,Yes,Yes
One tie,Clothes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,650.0,0.0,Yes,Yes
One  Decoration,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,2000.0,0.0,Yes,Yes
a,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1500.0,0.0,Yes,Yes
One  picture  of,Decoration Pieces,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1200.0,0.0,Yes,Yes
One  box  Cohiba,Cigar/Cigarettes,"General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,1250.0,0.0,Yes,Yes
One  wooden  ball,Decoration Pieces,"Begum  General  Parvez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,100.0,0.0,Yes,Yes
One  book  ,Decoration Pieces,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of pakistan",Military,2002-04-03,0.0,0.0,Yes,Yes
a,Not Specified,"Begum  General  Pervez  Musharraf,
President/  Chief  Executive  of
Pakistan",Military,2002-04-03,70.0,0.0,Yes,Yes
One glass vase,Decoration Pieces,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-08,800.0,0.0,Yes,Yes
One Cigar Box,Cigar/Cigarettes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-09,400.0,0.0,Yes,Yes
One shawl,Clothes,"Mr.  Abdul  Sattar,  Minister  for
Foreign Affairs",Gen. Musharraf,2002-04-09,700.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Brig. Nadeem Taj, Military Secretary
to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Mirza  Kamran  Zia,  Deputy
Military Secretary to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Lt.  Col.  Muhammad  Ilyas,  Chief
Security Officer to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Major  Asad  Farooq,  Security  Officer
to Chief Executive",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Makeem, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,"Hav. M. Shaukat, Gunman",Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Aslam,Military,2002-04-09,400.0,0.0,Yes,Yes
Jewellery box,Jewellery/Accessories,L/NK M. Yousaf,Military,2002-04-09,400.0,0.0,Yes,Yes
